Model,Release date,Max resolution,Low resolution,Effective pixels,Zoom wide (W)
Olympus C-730 UZ,2002,2048,1600,3,38
Olympus C-740 UZ,2003,2048,1600,3,38
Olympus C-750 UZ,2003,2288,2048,3,38
Olympus C-765 UZ,2004,2288,2048,3,38
Olympus C-770 UZ,2004,2288,2048,3,38
Olympus C-8080 Wide Zoom,2004,3264,2592,8,28
Olympus D-200L,1996,640,320,0,36
Olympus D-300L,1996,1024,512,0,36
Olympus D-340L,1998,1280,640,1,36
Olympus D-340R,1999,1280,640,1,36
Olympus D-360L,2000,1280,640,1,36
Olympus D-390,2003,1600,1024,1,35
Olympus D-395,2004,2048,1024,3,33
Olympus D-400 Zoom,1998,1280,640,1,35
Olympus D-425,2005,2288,1600,3,37
Olympus D-435,2005,2592,1600,5,36
Olympus D-450 Zoom,1999,1280,640,1,35
Olympus D-460 Zoom,2000,1280,640,1,35
Olympus D-490 Zoom,2000,1600,640,1,35
Olympus D-500L,1997,1024,640,0,50
Olympus D-520 Zoom,2002,1600,1024,1,35
Olympus D-535 Zoom,2004,2048,1600,3,38
Olympus D-540 Zoom,2004,2048,1600,3,38
Olympus D-545 Zoom,2005,2288,1600,3,38
Olympus D-560 Zoom,2003,2048,1024,3,35
Olympus D-580 Zoom,2004,2288,1600,3,35
Olympus D-595 Zoom,2005,2560,1600,4,38
Olympus D-600L,1997,1280,640,1,36
Olympus D-620L,1998,1280,640,1,36
Olympus D-630 Zoom,2005,2560,1600,4,35
Olympus E-1,2003,2560,1600,4,0
Olympus E-10,2000,2240,1600,3,35
Olympus E-100 RS,2000,1368,1280,1,38
Olympus E-20,2001,2560,1792,4,35
Olympus E-3,2007,3648,3200,10,0
Olympus E-300,2004,3264,3200,8,0
Olympus E-330,2006,3136,2560,7,0
Olympus E-400,2006,3648,3200,10,0
Olympus E-410,2007,3648,3200,10,0
Olympus E-500,2005,3264,3200,8,0
Olympus E-510,2007,3648,3200,10,0
Olympus FE-100,2005,2272,1600,4,35
Olympus FE-110,2005,2560,1600,5,35
Olympus FE-115,2006,2560,1600,5,38
Olympus FE-120,2005,2816,1600,6,38
Olympus FE-130,2006,2592,2048,5,38
Olympus FE-140,2006,2816,2048,6,38
Olympus FE-150,2006,2560,2048,5,32
Olympus FE-170,2006,2816,2048,6,38
Olympus FE-180,2006,2816,2048,6,38
Olympus FE-190,2006,2816,2048,6,38
Olympus FE-200,2006,2816,2048,6,28
Olympus FE-210,2007,3072,2048,7,38
Olympus FE-230,2007,3072,2048,7,38
Olympus FE-240,2007,3072,2048,7,38
Olympus FE-250,2007,3264,2048,8,38
Olympus FE-270,2007,3072,2048,7,38
Olympus FE-280,2007,3264,2048,8,36
Olympus FE-290,2007,3072,2048,7,28
Olympus FE-300,2007,4000,2048,12,35
Olympus IR-300,2005,2560,2048,4,38
Olympus Stylus 300 ,2003,2048,1600,3,35
Olympus Stylus 400 ,2003,2272,2048,3,35
Olympus SP-310,2005,3072,2592,7,38
Olympus SP-320,2006,3072,2592,7,38
Olympus SP-350,2005,3264,2592,8,38
Olympus SP-500 UZ,2005,2816,2592,6,38
Olympus SP-510 UZ,2006,3072,2560,7,38
Olympus SP-550 UZ,2007,3072,2560,7,28
Olympus SP-560 UZ,2007,3264,2560,8,27
Olympus SP-700,2005,2816,2288,6,38
Olympus Stylus 1000,2006,3648,2560,10,35
Olympus Stylus 1200,2007,4000,3264,12,35
Olympus Stylus 410 ,2004,2272,2048,3,35
Olympus Stylus 500 ,2004,2560,2048,4,35
Olympus Stylus 600 ,2005,2816,2560,6,35
Olympus Stylus 700 ,2006,3072,2560,7,37
Olympus Stylus 720 SW ,2006,3072,2560,7,37
Olympus Stylus 725 SW,2006,3072,2560,7,38
Olympus Stylus 730,2006,3072,2560,7,38
Olympus Stylus 740,2006,3072,2560,7,36
Olympus Stylus 750,2006,3072,2560,7,36
Olympus Stylus 760,2007,3072,2560,7,37
Olympus Stylus 770 SW,2007,3072,2560,7,38
Olympus Stylus 780,2007,3072,2560,7,36
Olympus Stylus 790 SW,2007,3072,2560,7,38
Olympus Stylus 800 ,2005,3264,2560,8,38
Olympus Stylus 810 ,2006,3264,2560,8,35
Olympus Stylus 820,2007,3264,2560,8,36
Olympus Stylus 830,2007,3248,2560,8,36
Olympus Stylus Verve ,2004,2272,2048,3,35
Olympus Stylus Verve  S,2005,2560,2048,4,35
Panasonic Lumix DMC-F7,2001,1600,800,1,35
Panasonic Lumix DMC-FX01,2006,2816,2048,6,28
Panasonic Lumix DMC-FX07,2006,3072,2560,7,28
Panasonic Lumix DMC-FX1,2003,2048,1600,3,35
Panasonic Lumix DMC-FX10,2007,2816,2048,6,35
Panasonic Lumix DMC-FX100,2007,4000,3264,12,28
Panasonic Lumix DMC-FX12,2007,3072,2560,7,35
Panasonic Lumix DMC-FX2,2004,2304,1600,4,35
Panasonic Lumix DMC-FX3,2006,2816,2048,6,35
Panasonic Lumix DMC-FX30,2007,3072,2560,7,28
Panasonic Lumix DMC-FX33,2007,3264,2560,8,28
Panasonic Lumix DMC-FX5,2003,2304,1600,4,35
Panasonic Lumix DMC-FX50,2006,3072,2560,7,28
Panasonic Lumix DMC-FX55,2007,3264,2560,8,28
Panasonic Lumix DMC-FX7,2004,2560,2048,4,35
Panasonic Lumix DMC-FX8,2005,2560,2560,5,35
Panasonic Lumix DMC-FX9,2005,2816,2048,6,35
Panasonic Lumix DMC-FZ1,2002,1600,1280,2,35
Panasonic Lumix DMC-FZ10,2003,2304,1600,4,35
Panasonic Lumix DMC-FZ18,2007,3264,2560,8,28
Panasonic Lumix DMC-FZ2,2003,1600,1280,2,35
Panasonic Lumix DMC-FZ20,2004,2560,2048,5,36
Panasonic Lumix DMC-FZ3,2004,2016,1600,3,35
Panasonic Lumix DMC-FZ30,2005,3264,2560,8,35
Panasonic Lumix DMC-FZ4,2005,2304,1600,4,35
Panasonic Lumix DMC-FZ5,2005,2560,2048,4,36
Panasonic Lumix DMC-FZ50,2006,3648,3264,10,35
Panasonic Lumix DMC-FZ7,2006,2816,2304,6,36
Panasonic Lumix DMC-FZ8,2007,3072,2560,7,36
Panasonic Lumix DMC-L1,2006,3136,2560,7,0
Panasonic Lumix DMC-L10,2007,3648,2816,10,0
Panasonic Lumix DMC-LC1,2004,2560,2048,4,28
Panasonic Lumix DMC-LC20,2002,1600,1024,1,35
Panasonic Lumix DMC-LC33,2003,2048,1600,3,35
Panasonic Lumix DMC-LC40,2002,2240,1600,3,33
Panasonic Lumix DMC-LC43,2003,2304,1600,4,35
Panasonic Lumix DMC-LC5,2001,2240,1600,3,33
Panasonic Lumix DMC-LC50,2004,2048,1600,3,35
Panasonic Lumix DMC-LC70,2004,2304,1600,4,35
Panasonic Lumix DMC-LC80,2004,2560,2048,4,35
Panasonic Lumix DMC-LS1,2005,2304,1600,4,35
Panasonic Lumix DMC-LS2,2006,2560,2048,5,35
Panasonic Lumix DMC-LS60,2007,2816,2048,6,35
Panasonic Lumix DMC-LS75,2007,3072,2560,7,35
Panasonic Lumix DMC-LX1,2005,3840,3072,8,28
Panasonic Lumix DMC-LX2,2006,4224,3840,10,28
Panasonic Lumix DMC-LZ1,2005,2304,1600,4,37
Panasonic Lumix DMC-LZ2,2005,2560,2048,5,37
Panasonic Lumix DMC-LZ3,2006,2560,2048,5,37
Panasonic Lumix DMC-LZ5,2006,2816,2048,6,37
Panasonic Lumix DMC-LZ6,2007,3072,2560,7,37
Panasonic Lumix DMC-LZ7,2007,3072,2560,7,37
Panasonic Lumix DMC-TZ1,2006,2560,2048,4,35
Panasonic Lumix DMC-TZ2,2007,2816,2048,6,28
Panasonic Lumix DMC-TZ3,2007,3072,2560,7,28
Pentax EI-100,2001,1280,640,1,42
Pentax EI-200,2000,1600,800,1,34
Pentax EI-2000,2000,1600,800,1,34
Pentax *ist D,2003,3008,2400,6,0
Pentax *ist DL,2005,3008,2400,6,0
Pentax *ist DL2,2006,3008,2400,6,0
Pentax *ist DS,2004,3008,2400,6,0
Pentax *ist DS2,2005,3008,2400,6,0
Pentax K100D,2006,3008,2400,6,0
Pentax K100D Super,2007,3008,2400,6,0
Pentax K10D,2006,3872,3008,10,0
Pentax K110D,2006,3008,2400,6,0
Pentax Optio 230,2002,1600,1024,1,38
Pentax Optio 30,2004,2048,1600,3,38
Pentax Optio 330,2001,2048,1024,3,37
Pentax Optio 330GS,2002,2048,1600,3,38
Pentax Optio 330RS,2002,2048,1024,3,37
Pentax Optio 33L,2003,2048,1600,3,38
Pentax Optio 33LF,2003,2048,1600,3,38
Pentax Optio 33WR,2003,2048,1600,3,37
Pentax Optio 430,2001,2240,1120,3,37
Pentax Optio 430RS,2002,2240,1120,3,37
Pentax Optio 43WR,2004,2288,1600,3,37
Pentax Optio 450,2003,2288,1600,3,37
Pentax Optio 50,2005,2560,2048,4,32
Pentax Optio 550,2003,2592,2048,5,37
Pentax Optio 555,2003,2592,2048,5,37
Pentax Optio 60,2005,2848,2272,6,36
Pentax Optio 750Z,2004,3056,2592,7,37
Pentax Optio A10,2006,3264,2592,8,38
Pentax Optio A20,2006,3648,3072,10,38
Pentax Optio A30,2007,3648,3072,10,38
Pentax Optio E10,2006,2816,2272,6,34
Pentax Optio E20,2006,2816,2272,6,34
Pentax Optio E30,2007,3072,2592,7,36
Pentax Optio E40,2007,3264,2592,8,37
Pentax Optio M10,2006,2816,2560,6,35
Pentax Optio M20,2006,3072,2560,7,38
Pentax Optio M30,2007,3072,2592,7,38
Pentax Optio M40,2007,3264,2592,8,36
Pentax Optio MX4,2004,2304,1600,4,37
Pentax Optio S,2003,2048,1024,3,35
Pentax Optio S10,2007,3648,3072,10,38
Pentax Optio S30,2004,2048,1600,3,38
Pentax Optio S4,2003,2304,1600,4,35
Pentax Optio S40,2004,2304,1600,4,35
Pentax Optio S45,2005,2304,1600,4,35
Pentax Optio S4i,2004,2304,1600,4,35
Pentax Optio S50,2004,2560,2304,5,35
Pentax Optio S55,2005,2560,2304,5,35
Pentax Optio S5i,2004,2560,2048,4,36
Pentax Optio S5n,2005,2560,2304,4,35
Pentax Optio S5z,2005,2560,2304,5,35
Pentax Optio S6,2005,2816,2560,6,37
Pentax Optio S60,2005,2816,2560,6,35
Pentax Optio S7,2006,3072,2592,7,37
Pentax Optio SV,2004,2560,2048,5,36
Pentax Optio SVi,2005,2560,2048,5,36
Pentax Optio T10,2006,2816,2592,6,37
Pentax Optio T20,2006,3072,2592,7,37
Pentax Optio T30,2007,3072,2592,7,38
Pentax Optio W10,2006,2816,2560,6,38
Pentax Optio W20,2006,3072,2560,7,38
Pentax Optio W30,2007,3072,2560,7,38
Pentax Optio WP,2005,2560,2304,4,38
Pentax Optio WPi,2005,2816,2560,6,38
Pentax Optio X,2004,2560,2048,5,36
Pentax Optio Z10,2007,3264,2592,8,38
Ricoh Caplio 500G,2006,3264,2592,8,28
Ricoh Caplio R1V,2005,2560,2048,4,28
Ricoh Caplio R2,2005,2560,2048,4,28
Ricoh Caplio R3,2005,2560,2048,4,28
Ricoh Caplio R30,2006,2560,2048,4,28
Ricoh Caplio R4,2006,2816,2048,6,28
Ricoh Caplio R40,2006,2816,2048,6,28
Ricoh Caplio R5,2006,3072,2592,7,28
Ricoh Caplio R6,2007,3072,2592,7,28
Ricoh Caplio R7,2007,3264,3264,8,28
Ricoh Caplio RR530,2005,2560,2048,4,32
Ricoh Caplio RR630,2006,2816,2048,6,36
Ricoh Caplio G3,2003,2048,1280,3,35
Ricoh GR Digital,2005,3264,2592,8,28
Ricoh Caplio GX100,2007,3648,3264,10,24
Ricoh Caplio GX8,2005,3264,2592,8,28
Ricoh RDC-200G,2000,1792,1280,2,38
Ricoh RDC-4300,1998,1280,640,1,35
Ricoh RDC-5000,1999,1792,896,2,38
Ricoh RDC-5300,1999,1792,896,2,38
Ricoh RDC-6000,2000,1600,800,1,40
Ricoh RDC-7,2000,2048,1024,3,35
Ricoh RDC-i500,2001,2048,1024,3,35
Ricoh RDC-i700,2000,2048,1024,3,35
Ricoh Caplio RR1,2001,2272,1120,3,35
Ricoh Caplio RX,2004,2048,1280,3,28
Samsung Digimax A50,2005,2592,2272,5,35
Samsung Digimax A502,2005,2592,2272,5,31
Samsung Digimax A55W,2005,2592,2272,5,28
Samsung Digimax 130,2002,1280,640,1,43
Samsung Digimax 202,2004,1600,1024,1,35
Samsung Digimax 230,2002,1600,1024,1,33
Samsung Digimax 250,2004,1600,1024,1,35
Samsung Digimax 301,2004,2048,1600,3,35
Samsung Digimax 350SE,2002,2048,1024,3,34
Samsung Digimax 370,2004,2048,1620,3,35
Samsung Digimax 401,2004,2048,1600,4,35
Samsung Digimax 410,2002,2272,1600,3,34
Samsung Digimax 430,2004,2272,2048,3,35
Samsung Digimax 530,2004,2592,2048,5,38
Samsung Digimax V4,2003,2272,1120,3,38
Samsung GX-10,2006,3872,3008,10,0
Samsung GX-1L,2006,3008,2400,6,0
Samsung GX-1S,2006,3008,2400,6,0
Samsung Digimax i5,2005,2595,2272,5,39
Samsung Digimax i6,2006,2816,2592,6,39
Samsung i7,2007,3072,2592,7,38
Samsung i70,2007,3072,2592,7,38
Samsung i85,2007,3264,2592,8,36
Samsung L83T,2007,3264,2592,8,38
Samsung L700,2007,3072,2592,7,35
Samsung L73,2007,3072,2592,7,35
Samsung L730,2007,3264,2592,7,38
Samsung L74 Wide,2007,3072,2592,7,28
Samsung L77,2007,3072,2592,7,38
Samsung L830,2007,3264,2592,8,38
Samsung NV10,2006,3648,3136,10,35
Samsung NV11,2007,3648,3136,10,35
Samsung NV15,2007,3648,2592,10,34
Samsung NV20,2007,4000,2592,12,34
Samsung NV3,2006,3072,2816,7,38
Samsung NV7 OPS,2006,3072,2688,7,38
Samsung NV8,2007,3264,2592,8,34
Samsung Pro815,2005,3264,2400,8,28
Samsung S1030,2007,3648,3476,10,35
Samsung S1050,2007,3648,3476,10,38
Samsung S630,2007,2816,2048,6,35
Samsung S730,2007,3072,2592,7,35
Samsung S830,2007,3264,3072,8,35
Samsung S85,2007,3264,2592,8,38
Samsung S850,2007,3264,2592,8,38
Samsung Digimax U-CA 3,2003,2048,2048,3,35
Samsung Digimax U-CA 4,2004,2272,2048,4,35
Samsung Digimax U-CA 401,2004,2272,1136,3,35
Samsung Digimax V40,2004,2272,2048,3,35
Samsung Digimax V5,2004,2592,2272,5,38
Samsung Digimax V50,2004,2592,2272,5,35
Samsung Digimax V6,2004,2816,2560,6,38
Samsung Digimax V700,2005,3072,2816,7,38
Samsung Digimax V800,2005,3264,2816,8,38
Sanyo DSC-AZ1,2001,2288,1600,3,35
Sanyo DSC-J1,2003,2048,1600,3,37
Sanyo DSC-S1,2003,2048,1600,3,36
Sanyo Xacti DSC-S3,2004,2048,1600,3,37
Sanyo Xacti DSC-S4,2004,2288,1600,3,37
Sanyo DSC-MZ1,2001,1600,640,1,35
Sanyo VPC-X350,1999,1024,640,0,38
Sanyo VPC-Z400,1999,1280,640,1,34
Sigma DP1,2006,2640,1776,4,28
Sigma SD10,2003,2268,1134,3,0
Sigma SD14,2006,2640,1776,4,0
Sigma SD9,2002,2268,1134,3,0
Sony Mavica FD-91,1998,1024,640,0,37
Sony Mavica CD1000,2000,1600,1600,1,37
Sony Mavica CD200,2001,1600,1024,1,39
Sony Mavica CD250,2002,1600,1280,1,41
Sony Mavica CD300,2001,2048,1600,3,34
Sony Mavica CD350,2003,2048,1632,3,41
Sony Mavica CD400,2002,2272,1600,3,34
Sony Mavica CD500,2003,2592,2048,5,34
Sony DSC-D700,1998,1344,640,1,28
Sony DSC-D770,1999,1344,640,1,28
Sony DSC-F505,1999,1600,1024,1,38
Sony DSC-F505V,2000,1856,1600,2,38
Sony DSC-F55,1999,1600,640,1,37
Sony DSC-F55V,2000,1856,1600,2,37
Sony DSC-F707,2001,2560,2048,4,38
Sony DSC-F717,2002,2560,2048,4,38
Sony DSC-F828,2003,3264,2592,8,28
Sony DSC-F88,2004,2592,2048,5,38
Sony DSC-G1,2007,2816,2048,6,38
Sony DSC-H1,2005,2592,2048,5,36
Sony DSC-H2,2006,2816,2048,6,36
Sony DSC-H3,2007,3264,3264,8,38
Sony DSC-H5,2006,3072,2592,7,36
Sony DSC-H7,2007,3264,2592,8,31
Sony DSC-H9,2007,3264,2592,8,31
Sony DSC-L1,2004,2304,1280,4,32
Sony DSC-M1,2004,2592,2048,5,38
Sony DSC-M2,2005,2592,2048,5,38
Sony DSC-N1,2005,3264,2592,8,38
Sony DSC-N2,2006,3264,2592,10,38
Sony DSC-P1,2000,2048,1600,3,39
Sony DSC-P10,2003,2592,2048,5,38
Sony DSC-P100,2004,2592,2048,5,38
Sony DSC-P150,2004,3072,2592,7,38
Sony DSC-P2,2002,1600,1280,1,39
Sony DSC-P20,2001,1216,1024,1,42
Sony DSC-P200,2005,3072,2592,7,38
Sony DSC-P3,2001,1920,1600,2,36
Sony DSC-P30,2001,1280,1024,1,41
Sony DSC-P31,2002,1600,1280,1,33
Sony DSC-P32,2003,2048,1632,3,33
Sony DSC-P41,2004,2272,1600,3,33
Sony DSC-P5,2001,2048,1600,3,39
Sony DSC-P50,2001,1600,1024,1,41
Sony DSC-P51,2002,1600,1280,1,41
Sony DSC-P52,2003,2048,1632,3,41
Sony DSC-P7,2002,2048,1600,3,39
Sony DSC-P71,2002,2048,1600,3,39
Sony DSC-P72,2003,2048,1632,3,39
Sony DSC-P73,2004,2272,1600,3,39
Sony DSC-P8,2003,2048,1632,3,39
Sony DSC-P9,2002,2272,1600,3,39
Sony DSC-P92,2003,2592,2048,5,38
Sony DSC-P93,2004,2592,2048,5,38
Sony DSC-R1,2005,3888,3264,10,24
Sony DSC-S30,2000,1280,640,1,39
Sony DSC-S40,2005,2304,2048,4,32
Sony DSC-S50,2000,1600,1280,1,39
Sony DSC-S60,2005,2304,2048,4,39
Sony DSC-S600,2006,2816,2048,6,31
Sony DSC-S650,2007,3072,2592,7,35
Sony DSC-S70,2000,2048,1600,3,34
Sony DSC-S700,2007,3072,2592,7,35
Sony DSC-S75,2001,2048,1600,3,34
Sony DSC-S800,2007,3264,2592,8,37
Sony DSC-S85,2001,2272,1600,3,34
Sony DSC-S90,2005,2304,2048,4,39
Sony DSC-T1,2003,2592,2048,5,38
Sony DSC-T10,2006,3072,2592,7,38
Sony DSC-T100,2007,3264,2592,8,35
Sony DSC-T11,2004,2592,2048,5,38
Sony DSC-T20,2007,3264,2592,8,38
Sony DSC-T200,2007,3264,3264,8,35
Sony DSC-T3,2004,2592,2048,5,38
Sony DSC-T30,2006,3072,2592,7,38
Sony DSC-T33,2005,2592,2048,5,38
Sony DSC-T5,2005,2592,2048,5,38
Sony DSC-T50,2006,3072,2592,7,38
Sony DSC-T7,2005,2592,2048,5,38
Sony DSC-T9,2005,2816,2048,6,38
Sony DSC-U10,2002,1280,640,1,33
Sony DSC-U20,2002,1632,640,2,33
Sony DSC-U30,2003,1632,640,2,33
Sony DSC-U40,2003,1632,640,2,33
Sony DSC-U50,2003,1632,640,2,33
Sony DSC-U60,2003,1632,640,2,33
Sony DSC-V1,2003,2592,2048,5,34
Sony DSC-V3,2004,3072,2592,7,34
Sony DSC-W1,2004,2592,2048,5,38
Sony DSC-W100,2006,3264,2592,8,38
Sony DSC-W200,2007,4000,3264,12,35
Sony DSC-W30,2006,2816,2048,6,38
Sony DSC-W35,2007,3072,2592,7,38
Sony DSC-W5,2005,2592,2048,5,38
Sony DSC-W50,2006,2816,2048,6,38
Sony DSC-W55,2007,3072,2592,7,38
Sony DSC-W7,2005,3072,2592,7,38
Sony DSC-W70,2006,3072,2592,7,38
Sony DSC-W80,2007,3072,2592,7,35
Sony DSC-W90,2007,3254,2592,8,35
Sony DSLR-A100,2006,3872,3896,10,0
Sony DSLR-A700,2007,4272,3104,12,0
Sony Mavica FD-100,2002,1280,1024,1,37
Sony Mavica FD-200,2002,1600,1024,1,37
Sony Mavica FD-71,1998,640,320,0,40
Sony Mavica FD-73,1999,640,320,0,40
Sony Mavica FD-75,2001,640,320,0,40
Sony Mavica FD-81,1998,1024,640,0,37
Sony Mavica FD-83,1999,1024,640,0,37
Sony Mavica FD-85,2000,1280,1280,1,37
Sony Mavica FD-87,2001,1280,1024,1,39
Sony Mavica FD-88,1999,1280,1024,1,34
Sony Mavica FD-90,2000,1280,1280,1,34
Sony Mavica FD-92,2001,1472,1280,1,41
Sony Mavica FD-95,2000,1600,1600,1,37
Sony Mavica FD-97,2001,1600,1024,1,39
Toshiba PDR-3310,2002,2048,1024,3,35
Toshiba PDR-3330,2002,2048,1024,3,35
Toshiba PDR-4300,2003,2400,1200,3,35
Toshiba PDR-5300,2003,2560,2048,4,35
Toshiba PDR-M1,1998,1280,640,1,35
Toshiba PDR-M11,2001,1280,640,1,52
Toshiba PDR-M21,2001,1600,800,1,39
Toshiba PDR-M25,2001,1729,896,2,38
Toshiba PDR-M3,1999,1280,640,1,38
Toshiba PDR-M4,1999,1600,800,1,40
Toshiba PDR-M5,1999,1600,800,1,40
Toshiba PDR-M60,2000,1792,896,2,38
Toshiba PDR-M61,2001,1792,896,2,38
Toshiba PDR-M65,2001,2048,1024,3,38
Toshiba PDR-M70,2000,2048,1024,3,35
Toshiba PDR-M71,2001,2048,1024,3,35
Toshiba PDR-M81,2001,2400,1200,3,35
Toshiba PDR-T10,2002,1600,800,1,38
